date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:54	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jun%202023%2010:20:55%20GMT	https://www.crazyfrogcoins.com/robots.txt		(from )
11:20:54	17073/17073	---M-Z	200	added ('OK')	text/html	etag:%22554351b-42b1-5fc8a28ca4e6e-gzip%22	https://www.crazyfrogcoins.com/	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/index.html	(from )
11:20:56	844999/844999	---M--	200	added ('OK')	image/png	etag:%225580c37-ce4c7-5fc552c4069a7%22	https://www.crazyfrogcoins.com/assets/images/LogoCRazyy.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/LogoCRazyy.png	(from https://www.crazyfrogcoins.com/)
11:20:56	197976/197976	---MCZ	200	added ('OK')	text/css	etag:W/%2230558-DawH1NdJFlqE1OYFvxeaspqgo2g%22	https://cdn.jsdelivr.net/npm/tw-elements/dist/css/tw-elements.min.css	C:/My%20Web%20Sites/kante/cdn.jsdelivr.net/npm/tw-elements/dist/css/tw-elements.min.css	(from https://www.crazyfrogcoins.com/)
11:20:57	11644/11644	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20Jun%202023%2010:20:58%20GMT	https://kit.fontawesome.com/1660f10c2d.js	C:/My%20Web%20Sites/kante/kit.fontawesome.com/1660f10c2d.js	(from https://www.crazyfrogcoins.com/)
11:20:58	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/kante/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.crazyfrogcoins.com/)
11:20:58	779/779	---M-Z	200	added ('OK')	text/css	etag:%2255e1722-30b-5fc4af6b6fcfd-gzip%22	https://www.crazyfrogcoins.com/assets/css/style.css	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/css/style.css	(from https://www.crazyfrogcoins.com/)
11:20:59	237949/237949	---M--	200	added ('OK')	image/png	etag:%22558177c-3a17d-5fc45e444d770%22	https://www.crazyfrogcoins.com/assets/images/cartoon1.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/cartoon1.png	(from https://www.crazyfrogcoins.com/)
11:20:59	3911/3911	---M--	200	added ('OK')	image/png	etag:%22558177b-f47-5fc45e420e02d%22	https://www.crazyfrogcoins.com/assets/images/bunny-mono.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/bunny-mono.png	(from https://www.crazyfrogcoins.com/)
11:21:00	931964/931964	---M--	200	added ('OK')	image/png	etag:%225581779-e387c-5fc45e3f1add8%22	https://www.crazyfrogcoins.com/assets/images/background1.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/background1.png	(from https://www.crazyfrogcoins.com/)
11:21:00	5119/5119	---M--	200	added ('OK')	image/svg+xml	etag:%225581781-13ff-5fc45e51c9748%22	https://www.crazyfrogcoins.com/assets/images/poocoin-poocoin-logo.svg	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/poocoin-poocoin-logo.svg	(from https://www.crazyfrogcoins.com/)
11:21:00	208252/208252	---M--	200	added ('OK')	image/png	etag:%22558177d-32d7c-5fc45e4613556%22	https://www.crazyfrogcoins.com/assets/images/cartoon2.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/cartoon2.png	(from https://www.crazyfrogcoins.com/)
11:21:00	344628/344628	---M--	200	added ('OK')	image/png	etag:%22558177f-54234-5fc45e4aed4ed%22	https://www.crazyfrogcoins.com/assets/images/cartoon4.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/cartoon4.png	(from https://www.crazyfrogcoins.com/)
11:21:01	127417/127417	---M--	200	added ('OK')	image/png	etag:%225581780-1f1b9-5fc45e4c44940%22	https://www.crazyfrogcoins.com/assets/images/cartoon5.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/cartoon5.png	(from https://www.crazyfrogcoins.com/)
11:21:01	198945/198945	---M--	200	added ('OK')	image/png	etag:%22558177e-30921-5fc45e486c2db%22	https://www.crazyfrogcoins.com/assets/images/cartoon3.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/cartoon3.png	(from https://www.crazyfrogcoins.com/)
11:21:01	170809/170809	---M--	200	added ('OK')	image/png	etag:%225581782-29b39-5fc45e5387445%22	https://www.crazyfrogcoins.com/assets/images/cartoon6.png	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/images/cartoon6.png	(from https://www.crazyfrogcoins.com/)
11:21:01	2606/2606	---M-Z	200	added ('OK')	text/html	etag:%225581777-a2e-5fc45d8099d3f-gzip%22	https://www.crazyfrogcoins.com/disclaimer.html	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/disclaimer.html	(from https://www.crazyfrogcoins.com/)
11:21:02	544345/544345	---MCZ	200	added ('OK')	application/javascript	etag:W/%2284e59-ECiCA4MfLUvNxcUWz9glXyNSGmY%22	https://cdn.jsdelivr.net/npm/tw-elements/dist/js/tw-elements.umd.min.js	C:/My%20Web%20Sites/kante/cdn.jsdelivr.net/npm/tw-elements/dist/js/tw-elements.umd.min.js	(from https://www.crazyfrogcoins.com/)
11:21:03	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/kante/unpkg.com/aos@2.3.1/dist/aos.js	(from https://www.crazyfrogcoins.com/)
11:21:03	28123/28123	---M--	200	added ('OK')	image/png	etag:%225da9cca4-6ddb%22	https://mdbootstrap.com/img/svg/flags.png	C:/My%20Web%20Sites/kante/mdbootstrap.com/img/svg/flags.png	(from https://cdn.jsdelivr.net/npm/tw-elements/dist/css/tw-elements.min.css)
11:21:04	46752/46752	---M--	200	added ('OK')	font/ttf	etag:%22558178f-b6a0-5fc45eec0cead%22	https://www.crazyfrogcoins.com/assets/fonts/ComingSoon-Regular.ttf	C:/My%20Web%20Sites/kante/www.crazyfrogcoins.com/assets/fonts/ComingSoon-Regular.ttf	(from https://www.crazyfrogcoins.com/assets/css/style.css)
